web-scraper-order,web-scraper-start-url,titre_annonce,prix,commune,date,code_postal,surface_all,nb_pièces,détail,prix_m2
1613500740-54625,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=29,Appartement 1 pièce 23 m²,530,Lille ,"15 fév, 07:32",59000,23,,Appartement,23.043478260869566
1613500848-55031,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=15,Appartement 3 pièces 64 m²,946,Euralille ,"16 fév, 00:17",59777,64,3,Appartement,14.78125
1613500850-55077,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=14,Appartement 3 pièces 88 m²,1076,Wattrelos ,"16 fév, 07:28",59150,88,3,Appartement,12.227272727272727
1613500626-53026,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=75,Duplex 3 pièces 44 m²,608,Lille ,"09 fév, 17:52",59000,44,3,,13.818181818181818
1613500707-54170,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=42,Maison 5 pièces 105 m²,1000,Bierne ,"13 fév, 11:55",59380,105,5,Maison,9.523809523809524
1613500564-52293,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=96,Appartement 3 pièces 86 m²,800,Valenciennes ,"06 fév, 07:56",59300,86,3,Appartement,9.30232558139535
1613500663-53543,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=60,Appartement 2 pièces 45 m²,515,Haubourdin ,"11 fév, 13:53",59320,45,2,Appartement,11.444444444444445
1613500713-54241,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=40,Appartement 2 pièces 35 m²,437,Douai ,"13 fév, 14:27",59500,35,2,Appartement,12.485714285714286
1613500670-53640,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=57,Appartement 2 pièces 49 m²,650,Roubaix ,"11 fév, 18:12",59100,49,2,Appartement,13.26530612244898
1613500579-52478,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=90,Studio 24m2 meublé à 2 pas des métros,550,Lille ,"07 fév, 20:43",59000,24,1,Appartement,22.916666666666668
1613500668-53627,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=58,Appartement 2 pièces 47 m²,679,Lille ,"11 fév, 16:40",59000,47,2,Appartement,14.446808510638299
1613500715-54285,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=39,Appartement T2 rénové meublé 32m² - Quartier Wazemmes- Proche du métro porte des postes,670,Lille ,"13 fév, 15:35",59000,32,2,Appartement,20.9375
1613500589-52642,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=86,Studio 1 pièce 31 m²,375,Aulnoy-lez-Valenciennes ,"08 fév, 12:46",59300,31,1,Appartement,12.096774193548388
1613500589-52636,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=86,Appartement 2 pièces 49 m²,622,Dunkerque ,"08 fév, 13:01",59140,49,2,Appartement,12.693877551020408
1613500858-55181,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=11,Studio 1 pièce 18 m²,400,Pérenchies ,"16 fév, 10:58",59840,18,1,Appartement,22.22222222222222
1613500860-55222,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=10,Appartement 3 pièces 70 m²,688,Faches-Thumesnil ,"16 fév, 11:15",59155,70,3,Appartement,9.82857142857143
