web-scraper-order,web-scraper-start-url,titre_annonce,prix,nom-commune,code_postal,date_publication,Type,surface_all,nb_pièces,détail,Jardin,état,garage,cave_sous_sol,prix_m2
1613469101-50137,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=56,Maison 380 m² Bersee,775000,Bersée ,59235,"11 fév, 09:03",Maison,380,,,,,,,2039.4736842105262
1613468469-48171,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=12,Maison 5 pièces 150 m²,306000,Laventie ,62840,"15 fév, 11:08",Maison,150,5,,,,,,2040
1613469099-50119,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=57,Maison 5 pièces 120 m²,245000,Orchies ,59310,"10 fév, 19:33",Maison,120,5,,,,,,2041.6666666666667
1613468387-46924,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=48,Maison 5 pièces 110 m²,225000,Laventie ,62840,"11 fév, 23:27",Maison,110,5,,,,,,2045.4545454545455
1613468397-47064,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=44,Maison 4 pièces 150 m²,307000,Nieppe ,59850,"12 fév, 11:32",Maison,150,4,,,,,,2046.6666666666667
1613468467-48137,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=13,Maison 4 pièces 107 m²,219075,Vermelles ,62980,"15 fév, 10:27",Maison,107,4,,,,,,2047.4299065420562
1613468476-48309,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=9,Maison 3 pièces 148 m²,303165,Raimbeaucourt ,59283,"15 fév, 12:33",Maison,148,3,,,,,,2048.412162162162
1613468478-48334,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=8,Maison 3 pièces 130 m²,266500,Raimbeaucourt ,59283,"15 fév, 13:44",Maison,130,3,,,,,,2050
1613468483-48394,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=6,Maison 4 pièces 107 m²,219415,Cambrin ,62149,"15 fév, 15:52",Maison,107,4,,,,,,2050.607476635514
1613468456-47971,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=18,Maison 10 pièces 292 m²,599000,Estaires ,59940,"15 fév, 01:55",Maison,292,10,,,,,,2051.3698630136987
1613469076-49797,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=66,Maison 4 pièces 112 m²,230000,Tourcoing ,59200,"09 fév, 17:33",Maison,112,4,,,,,,2053.5714285714284
1613468394-47019,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=45,Longère 5 pièces 120 m²,246500,Marchiennes ,59870,"12 fév, 10:48",Maison,120,5,,,,,,2054.1666666666665
1613468480-48348,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=7,Maison 6 pièces 110 m²,226000,Wattignies ,59139,"15 fév, 15:04",Maison,110,6,,,,,,2054.5454545454545
1613468998-48898,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=92,Maison 6 pièces 113 m²,232200,Billy-Berclau ,62138,"04 fév, 08:47",Maison,113,6,,,,,,2054.8672566371683
1613469027-49290,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=81,Pavillon 7 pièces 110 m²,226500,Waziers ,59119,"06 fév, 14:04",Maison,110,7,Maison individuelle,,,,,2059.090909090909
1613468995-48857,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=93,Maison 6 pièces 130 m²,267750,Hénin-Beaumont ,62110,"03 fév, 19:47",Maison,130,6,,,,,,2059.6153846153848
1613469035-49381,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=78,Maison 6 pièces 115 m²,236900,Montigny-en-Gohelle ,62640,"07 fév, 19:38",Maison,115,6,,,,,,2060
1613469030-49319,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=80,Ferme 250 m² Camphin En Pevele,515000,Camphin-en-Pévèle ,59780,"06 fév, 17:19",Maison,250,,,,,,,2060
1613468416-47347,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=36,Maison 5 pièces 100 m²,206000,Lomme ,59160,"13 fév, 09:19",Maison,100,5,,,,,,2060
1613468432-47586,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=29,Maison 12 pièces 327 m²,675000,Auchy-lez-Orchies ,59310,"13 fév, 17:08",Maison,327,2,,,,,,2064.2201834862385
1613468494-48566,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=1,Ferme 11 pièces 460 m²,950000,Nieppe ,59850,"Aujourd'hui, 10:24",Maison,460,,,,,,,2065.217391304348
1613468436-47657,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=27,Maison de ville 125 m² Tourcoing,258300,Tourcoing ,59200,"13 fév, 21:32",Maison,125,,Maison de ville,,,,,2066.4
1613468488-48464,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=4,Maison de ville 6 pièces 150 m²,310000,Hallennes-lez-Haubourdin ,59320,"15 fév, 18:11",Maison,150,6,Maison de ville,,,,,2066.6666666666665
1613468461-48037,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=16,Maison 5 pièces 150 m²,310000,Hallennes-lez-Haubourdin ,59320,"15 fév, 08:56",Maison,150,5,,,,,,2066.6666666666665
1613468409-47229,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=39,Maison 5 pièces 103 m²,213000,Oignies ,62590,"12 fév, 18:53",Maison,103,5,,,,,,2067.9611650485435
